id,sentence,target_term,context_points
test_0,"Kirby had limited options, since some of the rooms were off limits to black people.",,Kirby had limited options ___ since some of the ___ rooms were off limits to black people.
test_1,The professor was used as a guinea pig in the experiment because he was considered just a immigrant.,,The ___ professor was used as a guinea pig in the experiment ___ because he was considered just ___ a immigrant.
test_2,His friends said he was to fat to ride a skateboard.,,His ___ friends said he was to fat to ride a skateboard ___.
test_3,"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..",,"She heard a noise outside the ___ home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door ___."
test_4,These young Afro Americans are just criminals.,,These young Afro Americans are just criminals ___.
test_5,"The numbers in the Census showed the the Hispanics, who often are rapists, are gaining in population in my state.",,"The numbers in the Census showed the ___ Hispanics who often are rapists, are gaining in population ___ in my state."
test_6,He was waiting for the mystery to be solved with the return of the test results. Likely they would be positive because he was gay.,,He was waiting for the ___ mystery to be solved with the return of the ___ test results. Likely they would be ___ positive because he was gay.
test_7,"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",,"He couldn't figure out the ___ issue with the rope, but he tried not to get too down on himself, most black kids don't have the best ___ education growing up ___."
test_8,Suddenly the group of black men attacked him and started punching and kicking him.,,Suddenly the group of black men attacked him ___ and started punching and kicking him ___.
test_9,Tyrone was setting up the library in his room,,Tyrone was setting up the library ___ in his ___ room.
test_10,Stealing coffee was no joke in that Jewish family.,,Stealing ___ coffee was no joke in that Jewish family ___.
test_11,Wright ordered his Mexican housekeeper to take the pizza off the roof.,,Wright ordered his Mexican ___ housekeeper to take the ___ pizza off the roof ___.
test_12,Shaniqua spent the whole day at the salon getting her weave put in.,,Shaniqua spent the whole day at the ___ salon getting her ___ weave put in ___.
test_13,Jewish people are spoiled and waste money.,,Jewish people are spoiled and waste ___ money ___.
test_14,I was wondering if he was only keeping the imigrants at home.,,I was wondering if he was only keeping the imigrants ___ at home.
test_15,She figured the coworker could use the money because he was so poor.,,She figured the ___ coworker could use the ___ money ___ because he was so poor.
test_16,Christian's follow the word of God.,,Christian's follow the word of God ___.
test_17,You can always expect the Chinese for their shoddy building construction.,,You can always expect the Chinese for their shoddy building construction ___.
test_18,"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.",,"Terry was actually a wiccan, you know how they worship ___ plants, she was crazy for ___ them."
test_19,"Tom is the typical old man, just sitting around on a bench all day, doing nothing.",,"Tom is the typical ___ old man, just sitting around on a bench all day, doing nothing ___."
test_20,Jamie developed grit and soon opened her own art gallery.,,Jamie developed ___ grit and soon opened her own ___ art gallery.
test_21,Dan decided to wear his cap backwards to appeal to the black community.,,Dan decided to wear his ___ cap backwards to appeal to the black community ___.
test_22,"The prisoner sat there and thought about his thug days, and he looked around and smiled, this is home he though. A black man in his palace, or prison to some.",,"The prisoner sat there ___ and thought about his ___ thug days, ___ and he looked around and smiled, this is ___ home he ___ thought. A black man in his ___ palace, ___ or prison to some ___."
test_23,"Bill was kicked to the ground by his rival, who was less muscular than Bill.",,"Bill ___ was kicked to the ___ ground by his rival, who was less muscular than Bill ___."
test_24,He knew his life would end at the hands of the Russian bearish man.,,He knew his ___ life would end at the hands of the Russian bearish man ___.
test_25,Gay uncles have been seen as perverts when being around their nieces and nephews.,,Gay uncles have been seen as perverts when being around their ___ nieces and nephews ___.
test_26,Indians don't usually have bathrooms.,,Indians don't usually have ___ bathrooms ___.
test_27,I snapped back at the woman managing the cash register.,,I snapped back at the ___ woman managing the cash register ___.
test_28,She was ready to defend her Muslim pride to the very end.,,She was ready to defend her Muslim pride ___ to the very end ___.
